Source,Target
Arsenal,Atletico Madrid
Arsenal,Real Madrid
Arsenal,Barcelona
Arsenal,Sevilla
Arsenal,Villarreal
Arsenal,Celta Vigo
Arsenal,Valencia
Arsenal,Inter
Arsenal,AC Milan
Arsenal,Juventus
Arsenal,Napoli
Arsenal,Lazio
Arsenal,Roma
Arsenal,Sampdoria
Arsenal,Udinese
Arsenal,Fiorentina
Arsenal,Torino
Arsenal,Parma
Arsenal,Paris Saint Germain
Arsenal,Monaco
Arsenal,Lyon
Arsenal,Lens
Arsenal,Marseille
Arsenal,Rennes
Arsenal,Montpellier
Arsenal,Nantes
Arsenal,B Dortmund
Arsenal,B Leverkusen
Arsenal,B M'gladbach
Arsenal,B Munich
Arsenal,Cologne
Arsenal,E Frankfurt
Arsenal,Schalke
Arsenal,W Bremen
Aston Villa,Atletico Madrid
Aston Villa,Barcelona
Aston Villa,Athletic Bilbao
Aston Villa,Celta Vigo
Aston Villa,Inter
Aston Villa,Juventus
Aston Villa,Lille
Aston Villa,Rennes
Aston Villa,Bordeaux
Aston Villa,B Munich
Burnley,Napoli
Burnley,Reims
Burnley,E Frankfurt
Burnley,Stuttgart
Chelsea,Atletico Madrid
Chelsea,Real Madrid
Chelsea,Barcelona
Chelsea,Sevilla
Chelsea,Real Betis
Chelsea,Valencia
Chelsea,Inter
Chelsea,AC Milan
Chelsea,Juventus
Chelsea,Napoli
Chelsea,Lazio
Chelsea,Roma
Chelsea,Lille
Chelsea,Paris Saint Germain
Chelsea,Monaco
Chelsea,Marseille
Chelsea,Rennes
Chelsea,Bordeaux
Chelsea,B Leverkusen
Chelsea,B Munich
Chelsea,E Frankfurt
Chelsea,Hertha Berlin
Chelsea,Schalke
Chelsea,Stuttgart
Chelsea,W Bremen
Everton,Villarreal
Everton,Inter
Everton,AC Milan
Everton,Atalanta
Everton,Fiorentina
Everton,Lille
Everton,Lyon
Everton,B M'gladbach
Everton,B Munich
Everton,Wolfsburg
Fulham,Atletico Madrid
Fulham,Juventus
Fulham,Roma
Fulham,Bologna
Fulham,Hertha Berlin
Fulham,Wolfsburg
Leeds,Real Madrid
Leeds,Barcelona
Leeds,Valencia
Leeds,AC Milan
Leeds,Juventus
Leeds,Napoli
Leeds,Lazio
Leeds,Roma
Leeds,Bologna
Leeds,Torino
Leeds,Monaco
Leeds,B Munich
Leeds,Stuttgart
Leicester,Atletico Madrid
Leicester,Sevilla
Liverpool,Atletico Madrid
Liverpool,Real Madrid
Liverpool,Barcelona
Liverpool,Sevilla
Liverpool,Sociedad
Liverpool,Villarreal
Liverpool,Real Betis
Liverpool,Athletic Bilbao
Liverpool,Celta Vigo
Liverpool,Valencia
Liverpool,Alaves
Liverpool,Inter
Liverpool,AC Milan
Liverpool,Juventus
Liverpool,Atalanta
Liverpool,Napoli
Liverpool,Roma
Liverpool,Udinese
Liverpool,Fiorentina
Liverpool,Genoa
Liverpool,Lille
Liverpool,Paris Saint Germain
Liverpool,Monaco
Liverpool,Lyon
Liverpool,Marseille
Liverpool,St-Etienne
Liverpool,Strasbourg
Liverpool,Bordeaux
Liverpool,Augsburg
Liverpool,B Dortmund
Liverpool,B Leverkusen
Liverpool,B M'gladbach
Liverpool,B Munich
Liverpool,Cologne
Liverpool,E Frankfurt
Liverpool,Hoffenheim
Liverpool,RB Leipzig
Man City,Real Madrid
Man City,Barcelona
Man City,Sevilla
Man City,Villarreal
Man City,Athletic Bilbao
Man City,Valencia
Man City,AC Milan
Man City,Juventus
Man City,Atalanta
Man City,Napoli
Man City,Roma
Man City,Paris Saint Germain
Man City,Monaco
Man City,Lyon
Man City,Marseille
Man City,B Dortmund
Man City,B M'gladbach
Man City,B Munich
Man City,Hoffenheim
Man City,Schalke
Man Utd,Atletico Madrid
Man Utd,Real Madrid
Man Utd,Barcelona
Man Utd,Sevilla
Man Utd,Sociedad
Man Utd,Villarreal
Man Utd,Granada
Man Utd,Athletic Bilbao
Man Utd,Celta Vigo
Man Utd,Valencia
Man Utd,Inter
Man Utd,AC Milan
Man Utd,Juventus
Man Utd,Lazio
Man Utd,Roma
Man Utd,Fiorentina
Man Utd,Lille
Man Utd,Paris Saint Germain
Man Utd,Monaco
Man Utd,Lyon
Man Utd,Marseille
Man Utd,Montpellier
Man Utd,St-Etienne
Man Utd,Strasbourg
Man Utd,Bordeaux
Man Utd,Nantes
Man Utd,B Dortmund
Man Utd,B Leverkusen
Man Utd,B Munich
Man Utd,RB Leipzig
Man Utd,Schalke
Man Utd,Stuttgart
Man Utd,Wolfsburg
Newcastle,Barcelona
Newcastle,Athletic Bilbao
Newcastle,Celta Vigo
Newcastle,Inter
Newcastle,Juventus
Newcastle,Roma
Newcastle,Monaco
Newcastle,Marseille
Newcastle,Metz
Newcastle,Bordeaux
Newcastle,B Leverkusen
Newcastle,E Frankfurt
Southampton,Athletic Bilbao
Southampton,Inter
Southampton,Marseille
Tottenham,Atletico Madrid
Tottenham,Real Madrid
Tottenham,Barcelona
Tottenham,Sevilla
Tottenham,Getafe
Tottenham,Inter
Tottenham,AC Milan
Tottenham,Juventus
Tottenham,Lazio
Tottenham,Udinese
Tottenham,Fiorentina
Tottenham,Monaco
Tottenham,Lyon
Tottenham,Nantes
Tottenham,B Dortmund
Tottenham,B Leverkusen
Tottenham,B Munich
Tottenham,Cologne
Tottenham,E Frankfurt
Tottenham,RB Leipzig
Tottenham,W Bremen
West Brom,Valencia
West Brom,Bologna
West Ham,Metz
West Ham,B Dortmund
West Ham,E Frankfurt
Wolves,Barcelona
Wolves,Sevilla
Wolves,Juventus
Wolves,Torino
Wolves,Schalke
Atletico Madrid,Inter
Atletico Madrid,AC Milan
Atletico Madrid,Juventus
Atletico Madrid,Lazio
Atletico Madrid,Roma
Atletico Madrid,Udinese
Atletico Madrid,Fiorentina
Atletico Madrid,Cagliari
Atletico Madrid,Parma
Atletico Madrid,Monaco
Atletico Madrid,Lens
Atletico Madrid,Marseille
Atletico Madrid,Rennes
Atletico Madrid,Nantes
Atletico Madrid,B Dortmund
Atletico Madrid,B Leverkusen
Atletico Madrid,B Munich
Atletico Madrid,RB Leipzig
Atletico Madrid,Schalke
Atletico Madrid,W Bremen
Atletico Madrid,Wolfsburg
Real Madrid,Inter
Real Madrid,AC Milan
Real Madrid,Juventus
Real Madrid,Atalanta
Real Madrid,Napoli
Real Madrid,Lazio
Real Madrid,Roma
Real Madrid,Fiorentina
Real Madrid,Paris Saint Germain
Real Madrid,Monaco
Real Madrid,Lyon
Real Madrid,Marseille
Real Madrid,Nice
Real Madrid,Reims
Real Madrid,B Dortmund
Real Madrid,B Leverkusen
Real Madrid,B M'gladbach
Real Madrid,B Munich
Real Madrid,Cologne
Real Madrid,E Frankfurt
Real Madrid,Schalke
Real Madrid,W Bremen
