Source,club1_name,Target,club2_name,club1_wins,club2_wins,draws
142,Arsenal,154,Aston Villa,83,69,45
142,Arsenal,381,Brighton,13,5,4
142,Arsenal,435,Burnley,54,34,23
142,Arsenal,536,Chelsea,78,65,59
142,Arsenal,646,Crystal Palace,28,5,15
142,Arsenal,942,Everton,107,62,46
142,Arsenal,1055,Fulham,40,8,11
142,Arsenal,1524,Leeds,48,41,33
142,Arsenal,1527,Leicester,68,32,46
142,Arsenal,1563,Liverpool,79,90,64
142,Arsenal,1718,Man City,98,60,45
142,Arsenal,1724,Man Utd,84,97,53
142,Arsenal,1823,Newcastle,81,67,38
142,Arsenal,2328,Sheff Utd,51,40,28
142,Arsenal,2471,Southampton,52,22,28
142,Arsenal,2590,Tottenham,78,60,51
142,Arsenal,2744,West Brom,72,38,32
142,Arsenal,2802,West Ham,68,35,41
142,Arsenal,2848,Wolves,58,32,28
142,Arsenal,163,Atletico Madrid,0,1,1
142,Arsenal,2165,Real Madrid,1,0,1
142,Arsenal,224,Barcelona,1,6,2
142,Arsenal,2292,Sevilla,1,1,0
142,Arsenal,3123,Villarreal,2,0,2
142,Arsenal,690,Celta Vigo,2,0,0
142,Arsenal,2697,Valencia,3,2,2
142,Arsenal,1370,Inter,1,1,0
142,Arsenal,41,AC Milan,4,2,2
142,Arsenal,1408,Juventus,3,1,2
142,Arsenal,1801,Napoli,3,1,0
142,Arsenal,1501,Lazio,2,0,2
142,Arsenal,2163,Roma,2,1,1
142,Arsenal,2388,Sampdoria,1,1,0
142,Arsenal,2634,Udinese,2,0,0
142,Arsenal,999,Fiorentina,0,1,1
142,Arsenal,2584,Torino,1,0,1
142,Arsenal,2037,Parma,1,0,0
142,Arsenal,2068,Paris Saint Germain,1,0,3
142,Arsenal,1674,Monaco,1,1,0
142,Arsenal,1645,Lyon,1,0,1
142,Arsenal,1590,Lens,2,1,1
142,Arsenal,1748,Marseille,3,0,1
142,Arsenal,2173,Rennes,1,1,0
142,Arsenal,1767,Montpellier,2,0,0
142,Arsenal,1800,Nantes,1,0,1
142,Arsenal,398,B Dortmund,4,3,1
142,Arsenal,468,B Leverkusen,1,0,1
142,Arsenal,403,B M'gladbach,0,2,0
142,Arsenal,469,B Munich,3,7,2
142,Arsenal,970,Cologne,2,2,0
142,Arsenal,884,E Frankfurt,1,1,0
142,Arsenal,2260,Schalke,1,2,1
142,Arsenal,2854,W Bremen,2,0,0
154,Aston Villa,381,Brighton,13,5,9
154,Aston Villa,435,Burnley,51,41,28
