club_id,Id,manager,year_formed,chairman,city,market_value,country,rank,segmentation
142, Arsenal , Mikel Arteta ,1886,Sir Chips Keswick,London,549100000,england,9,high
154, Aston Villa , Dean Smith ,1874,,Birmingham,379700000,england,11,high
381, Brighton , Graham Potter ,1901,Tony Bloom,Brighton & Hove,248600000,england,16,medium
435, Burnley , Sean Dyche ,1882,J Banaszkiewicz and M Garlick,Burnley,130250000,england,17,medium
536, Chelsea , Thomas Tuchel ,1905,Bruce Buck,London,779800000,england,4,high
646, Crystal Palace , Roy Hodgson ,1905,Steve Parish & Martin Long,London,203300000,england,13,medium
942, Everton , Carlo Ancelotti ,1878,Bill Kenwright,Merseyside,464500000,england,8,high
1055, Fulham , Scott Parker ,1879,Shahid Khan,London,223100000,england,18,medium
1524, Leeds , Marcelo Bielsa ,1919,Andrea Radrizzani,Leeds,214650000,england,10,medium
1527, Leicester , Brendan Rodgers ,1884,,Leicester,475900000,england,3,high
1563, Liverpool , Jurgen Klopp ,1892,John W Henry.,Merseyside,1010000000,england,7,high
1718, Man City , Josep Guardiola ,1887,Khaldoon Al Mubarak,Manchester,1030000000,england,1,high
1724, Man Utd , Ole Gunnar Solskjaer ,1878,Joel Glazer & Avram Glazer,Manchester,717950000,england,2,high
1823, Newcastle , Steve Bruce ,1892,Lee Charnley,Newcastle,252700000,england,15,medium
2328, Sheff Utd , Paul Heckingbottom ,1889,Kevin McCabe,Sheffield,152800000,england,20,medium
2471, Southampton , Ralph Hasenhuttl ,1885,Katharina Liebherr,Southampton,250500000,england,14,medium
2590, Tottenham , Ryan Mason ,1882,D Levy,London,680800000,england,6,high
2744, West Brom , Sam Allardyce ,1878,Jeremy Peace,West Bromwich,121250000,england,19,low
2802, West Ham , David Moyes ,1895,David Gold & David Sullivan,London,279750000,england,5,medium
2848, Wolves , Nuno Espirito Santo ,1877,Steve Morgan,Wolverhampton,412100000,england,12,high
1370, Inter , Antonio Conte ,1908,Massimo Moratti,Milan,618300000,italy,1,high
41, AC Milan , Stefano Pioli ,1899,Silvio Berlusconi,Milan,508800000,italy,2,high
1408, Juventus , Andrea Pirlo ,1897,Andrea Agnelli,Turin,678100000,italy,3,high
17, Atalanta , Gian Piero Gasperini ,,,  ,381000000,italy,4,high
1801, Napoli , Gennaro Gattuso ,,,  ,533000000,italy,5,high
1501, Lazio , Simone Inzaghi ,1900,Claudio Lotito,Rome,344900000,italy,6,high
2163, Roma , Paulo Fonseca ,1927,Rosella Sensi,Rome,386850000,italy,7,high
4692, Sassuolo , Roberto De Zerbi ,,,  ,211850000,italy,8,medium
2388, Sampdoria , Claudio Ranieri ,,,  ,104900000,italy,9,low
2681, Verona , Ivan Juric ,,,,155630000,italy,10,medium
268, Bologna , Sinisa Mihajlovic ,,,,140500000,italy,11,medium
2634, Udinese , Luca Gotti ,,,,142900000,italy,12,medium
999, Fiorentina , Cesare Prandelli ,1926,,,195700000,italy,13,medium
1082, Genoa , Davide Ballardini ,,,,88150000,italy,14,low
