gender,fav_number,link_color,retweet_count,sidebar_color,tweet_count,user_timezone
male,0,08C2C2,0,FFFFFF,110964,Chennai
female,37318,3B94D9,0,0,31462,-
female,3901,F5ABB5,0,0,20036,Central Time (US & Canada)
female,1825,9266CC,0,0,482,-
female,3115,9266CC,0,FFFFFF,26085,Amsterdam
female,3371,0084B4,0,FFFFFF,13585,Atlantic Time (Canada)
female,13928,0084B4,0,FFFFFF,18469,Atlantic Time (Canada)
female,18751,3B94D9,0,0,10271,-
female,5454,D41EBF,0,65B0DA,13452,Arizona
male,4408,FE617D,0,FFFFFF,55751,Pacific Time (US & Canada)
male,103,DD2E44,0,FFFFFF,25773,Eastern Time (US & Canada)
female,1322,FF55AA,0,FFFFFF,4965,Eastern Time (US & Canada)
male,49,0084B4,0,FFFFFF,30294,Hawaii
female,748,CC3366,0,DBE9ED,58876,Eastern Time (US & Canada)
male,1900,AB6F09,0,FFFFFF,8843,Eastern Time (US & Canada)
male,12,09A7E0,0,BDDCAD,28078,Caracas
male,85,595952,0,FFFFFF,73578,Eastern Time (US & Canada)
female,552,0084B4,0,BDDCAD,2271,London
male,104,0,0,FFFFFF,9071,Pacific Time (US & Canada)
male,1312,0,0,0,53245,Abu Dhabi
male,20,3B94D9,0,0,3215,-
male,10536,ABB8C2,0,FFFFFF,237421,Baghdad
female,797,990000,0,DFDFDF,31758,Edinburgh
female,722,3B94D9,0,0,209962,Amsterdam
male,530,9611B0,0,80808,39756,Riyadh
female,6805,FF0877,0,FFFFFF,30903,London
female,36,F5ABB5,0,0,488,-
male,8900,51014,0,0,75684,Central Time (US & Canada)
male,193,107FC9,0,FFFFFF,3874,Athens
male,1140,0099B9,0,5ED4DC,300,Eastern Time (US & Canada)
female,366,0,0,0,8118,Eastern Time (US & Canada)
male,4902,9266CC,0,0,2286,Dublin
male,33672,990000,0,FFFFFF,95732,Central Time (US & Canada)
female,54,9266CC,0,0,22145,Madrid
male,14992,FA3CBE,0,0,48045,Eastern Time (US & Canada)
female,38680,4A913C,0,0,34852,Central Time (US & Canada)
female,13588,BD98E5,0,0,6464,Arizona
male,6044,994700,0,FFFFFF,9799,Eastern Time (US & Canada)
male,3662,73A1A9,0,FFFFFF,32310,London
male,1016,0084B4,0,FFFFFF,1647,Pacific Time (US & Canada)
male,5122,2FC2EF,0,FFFFFF,18553,Amsterdam
female,0,0000FF,0,FFFFFF,82319,Berlin
female,6482,9266CC,0,FFFFFF,90079,Amsterdam
male,5517,FAD733,0,0,34890,-
female,87,0,0,0,28280,Quito
female,11414,2FC2EF,0,FFFFFF,50993,-
female,26721,9266CC,0,0,37290,Pretoria
female,4073,990000,0,DFDFDF,5601,Pacific Time (US & Canada)
female,3322,ABB8C2,0,FFFFFF,19365,Beijing
male,53563,3B94D9,0,0,52653,Eastern Time (US & Canada)
female,778,FF0000,0,FFFFFF,2990,Eastern Time (US & Canada)
male,69,ABB8C2,0,0,3202,Eastern Time (US & Canada)
female,404,B40B43,0,CC3366,90271,Central Time (US & Canada)
male,25331,0,0,0,36465,Eastern Time (US & Canada)
female,0,0084B4,0,BDDCAD,31,-
male,33,0084B4,0,0,42906,Eastern Time (US & Canada)
male,4626,0F00FF,0,65B0DA,66317,Arizona
female,826,FF0000,0,FFFFFF,19469,Eastern Time (US & Canada)
female,9174,6999,0,FFFFFF,31572,Quito
male,33,CC3366,0,DBE9ED,418,-
female,4558,A39DA3,0,FFFFFF,7419,London
female,727,0C04E0,0,FFFFFF,41717,Quito
female,694,DD2E44,0,0,274804,Central Time (US & Canada)
male,0,0084B4,0,A8C7F7,379,Eastern Time (US & Canada)
male,129,0084B4,0,FFFFFF,109254,Atlantic Time (Canada)
male,31,DD2E44,0,0,137234,Eastern Time (US & Canada)
male,28858,DD2E44,0,0,6621,-
male,7903,0084B4,0,FFFFFF,31969,-
female,14300,89C9FA,0,0,5829,Eastern Time (US & Canada)
female,2387,89C9FA,0,0,1925,Atlantic Time (Canada)
female,6798,2D8A8A,0,0,19271,Greenland
male,17604,0084B4,0,0,64066,Pacific Time (US & Canada)
male,166,0084B4,0,0,2092,Central Time (US & Canada)
female,5669,0,0,FFFFFF,10523,Amsterdam
